PG_ICFES,DEPARTAMENTO
419.74,CUNDINAMARCA
425.0,CUNDINAMARCA
425.0,CUNDINAMARCA
454.0,CUNDINAMARCA
523.19,BOGOTA
528.52,BOGOTA
478.41,BOGOTA
505.2,BOGOTA
491.89,BOGOTA
482.97,BOGOTA
498.52,BOGOTA
447.41,BOGOTA
478.53,BOGOTA
466.12,BOGOTA
516.27,BOGOTA
442.46,BOGOTA
484.89,BOGOTA
492.05,BOGOTA
468.27,BOGOTA
525.11,BOGOTA
498.55,BOGOTA
480.62,BOGOTA
496.64,BOGOTA
358.86,BOGOTA
489.69,BOGOTA
488.88,BOGOTA
455.15,BOGOTA
478.08,BOGOTA
491.06,BOGOTA
491.13,BOGOTA
506.25,BOGOTA
477.79,BOGOTA
508.49,BOGOTA
473.34,BOGOTA
490.83,BOGOTA
468.82,BOGOTA
504.65,BOGOTA
428.63,BOGOTA
474.92,BOGOTA
496.77,BOGOTA
486.1,BOGOTA
491.47,BOGOTA
491.54,BOGOTA
518.55,BOGOTA
500.63,BOGOTA
516.22,BOGOTA
494.01,BOGOTA
427.42,BOGOTA
485.43,BOGOTA
474.97,BOGOTA
471.71,BOGOTA
523.87,BOGOTA
489.97,BOGOTA
480.47,BOGOTA
517.33,BOGOTA
480.49,BOGOTA
478.17,BOGOTA
492.04,BOGOTA
464.05,BOGOTA
466.69,BOGOTA
480.74,BOGOTA
472.12,BOGOTA
507.48,BOGOTA
474.25,BOGOTA
492.04,BOGOTA
518.21,BOGOTA
544.45,BOGOTA
475.97,BOGOTA
514.97,BOGOTA
490.0,BOGOTA
475.56,BOGOTA
492.57,BOGOTA
486.02,BOGOTA
504.92,BOGOTA
491.53,BOGOTA
462.88,BOGOTA
492.18,BOGOTA
523.09,BOGOTA
489.9,BOGOTA
475.36,BOGOTA
478.38,BOGOTA
489.54,BOGOTA
475.29,BOGOTA
481.76,BOGOTA
490.58,BOGOTA
466.01,BOGOTA
478.92,BOGOTA
447.34,BOGOTA
439.72,BOGOTA
429.61,BOGOTA
440.77,BOGOTA
429.31,BOGOTA
413.23,BOGOTA
429.98,BOGOTA
425.73,BOGOTA
438.09,BOGOTA
412.88,BOGOTA
421.17,BOGOTA
431.81,BOGOTA
413.99,BOGOTA
415.52,BOGOTA
416.75,BOGOTA
407.67,BOGOTA
410.02,BOGOTA
420.45,BOGOTA
411.47,BOGOTA
405.48,BOGOTA
414.9,BOGOTA
406.58,BOGOTA
398.67,BOGOTA
385.92,BOGOTA
418.89,BOGOTA
430.92,BOGOTA
411.45,BOGOTA
403.15,BOGOTA
384.68,BOGOTA
392.99,BOGOTA
427.29,BOGOTA
407.23,BOGOTA
403.54,BOGOTA
399.16,BOGOTA
399.06,BOGOTA
394.65,BOGOTA
401.89,BOGOTA
405.25,BOGOTA
383.54,BOGOTA
398.62,BOGOTA
422.22,BOGOTA
404.66,BOGOTA
403.99,BOGOTA
403.77,BOGOTA
401.22,BOGOTA
416.65,BOGOTA
399.89,BOGOTA
404.59,BOGOTA
401.6,BOGOTA
395.87,BOGOTA
473.0,BOGOTA
491.0,BOGOTA
469.0,BOGOTA
474.0,BOGOTA
461.0,BOGOTA
455.0,BOGOTA
435.0,BOGOTA
444.0,BOGOTA
453.0,BOGOTA
457.0,BOGOTA
447.0,BOGOTA
454.0,BOGOTA
452.0,BOGOTA
456.0,BOGOTA
450.0,BOGOTA
442.0,BOGOTA
462.0,BOGOTA
467.0,BOGOTA
458.0,BOGOTA
450.0,BOGOTA
462.0,BOGOTA
431.0,BOGOTA
446.0,BOGOTA
449.0,BOGOTA
428.0,BOGOTA
447.0,BOGOTA
442.0,BOGOTA
423.0,BOGOTA
433.0,BOGOTA
466.0,BOGOTA
439.0,BOGOTA
450.0,BOGOTA
456.0,BOGOTA
426.0,BOGOTA
432.0,BOGOTA
447.0,BOGOTA
439.0,BOGOTA
449.0,BOGOTA
427.0,BOGOTA
451.0,BOGOTA
444.0,BOGOTA
461.0,BOGOTA
455.0,BOGOTA
452.0,BOGOTA
422.0,BOGOTA
433.0,BOGOTA
438.0,BOGOTA
395.0,BOGOTA
429.0,BOGOTA
426.0,BOGOTA
417.0,BOGOTA
446.0,BOGOTA
418.0,BOGOTA
423.0,BOGOTA
458.0,BOGOTA
446.0,BOGOTA
461.0,BOGOTA
453.0,BOGOTA
441.0,BOGOTA
387.0,BOGOTA
431.0,BOGOTA
417.0,BOGOTA
431.0,BOGOTA
430.0,BOGOTA
427.0,BOGOTA
432.0,BOGOTA
401.0,BOGOTA
427.0,BOGOTA
415.0,BOGOTA
434.0,BOGOTA
431.0,BOGOTA
448.0,BOGOTA
419.0,BOGOTA
431.0,BOGOTA
446.0,BOGOTA
437.0,BOGOTA
417.0,BOGOTA
433.0,BOGOTA
428.0,BOGOTA
396.0,BOGOTA
429.0,BOGOTA
350.63,BOGOTA
427.0,BOGOTA
447.0,BOGOTA
431.0,BOGOTA
457.0,BOGOTA
430.0,BOGOTA
461.0,BOGOTA
464.0,BOGOTA
442.0,BOGOTA
436.0,BOGOTA
441.0,BOGOTA
427.0,BOGOTA
445.0,BOGOTA
432.0,BOGOTA
443.0,BOGOTA
440.0,BOGOTA
429.0,BOGOTA
450.0,BOGOTA
443.0,BOGOTA
410.0,BOGOTA
424.0,BOGOTA
421.0,BOGOTA
398.0,BOGOTA
403.0,BOGOTA
442.0,BOGOTA
425.0,BOGOTA
408.0,BOGOTA
431.0,BOGOTA
416.0,BOGOTA
419.0,BOGOTA
413.0,BOGOTA
427.19,BOGOTA
408.0,BOGOTA
407.0,BOGOTA
402.0,BOGOTA
429.0,BOGOTA
415.0,BOGOTA
413.0,BOGOTA
431.0,BOGOTA
405.0,BOGOTA
392.0,BOGOTA
410.0,BOGOTA
413.0,BOGOTA
402.0,BOGOTA
412.0,BOGOTA
454.0,BOGOTA
426.0,BOGOTA
415.0,BOGOTA
418.0,BOGOTA
405.0,BOGOTA
409.0,BOGOTA
428.0,BOGOTA
425.0,BOGOTA
442.0,BOGOTA
432.0,BOGOTA
429.0,BOGOTA
411.0,BOGOTA
424.0,BOGOTA
416.0,BOGOTA
409.0,BOGOTA
386.0,BOGOTA
424.0,BOGOTA
384.74,BOGOTA
387.41,BOGOTA
413.0,BOGOTA
422.0,BOGOTA
401.0,BOGOTA
409.0,BOGOTA
388.06,BOGOTA
377.0,BOGOTA
479.0,BOGOTA
464.0,BOGOTA
471.0,BOGOTA
460.0,BOGOTA
459.0,BOGOTA
467.0,BOGOTA
452.0,BOGOTA
441.0,BOGOTA
461.0,BOGOTA
442.0,BOGOTA
446.0,BOGOTA
449.0,BOGOTA
450.0,BOGOTA
421.0,BOGOTA
450.0,BOGOTA
419.0,BOGOTA
452.0,BOGOTA
426.0,BOGOTA
452.0,BOGOTA
451.0,BOGOTA
449.0,BOGOTA
426.0,BOGOTA
435.0,BOGOTA
435.0,BOGOTA
439.0,BOGOTA
435.0,BOGOTA
425.0,BOGOTA
447.0,BOGOTA
423.0,BOGOTA
443.0,BOGOTA
447.0,BOGOTA
432.0,BOGOTA
444.0,BOGOTA
441.0,BOGOTA
436.0,BOGOTA
435.0,BOGOTA
451.0,BOGOTA
437.0,BOGOTA
429.0,BOGOTA
429.0,BOGOTA
439.0,BOGOTA
439.0,BOGOTA
448.0,BOGOTA
442.0,BOGOTA
437.0,BOGOTA
433.0,BOGOTA
432.0,BOGOTA
442.0,BOGOTA
411.0,BOGOTA
424.0,BOGOTA
430.0,BOGOTA
419.0,BOGOTA
437.0,BOGOTA
436.0,BOGOTA
420.0,BOGOTA
448.0,BOGOTA
406.0,BOGOTA
425.0,BOGOTA
436.0,BOGOTA
424.0,BOGOTA
424.0,BOGOTA
437.0,BOGOTA
428.0,BOGOTA
444.0,BOGOTA
425.0,BOGOTA
432.0,BOGOTA
427.0,BOGOTA
430.0,BOGOTA
423.0,BOGOTA
447.0,BOGOTA
418.0,BOGOTA
422.0,BOGOTA
429.0,BOGOTA
400.0,BOGOTA
419.0,BOGOTA
416.0,BOGOTA
398.0,BOGOTA
397.0,BOGOTA
378.0,BOGOTA
352.0,BOGOTA
416.0,BOGOTA
408.0,BOGOTA
425.73,BOGOTA
444.0,BOGOTA
433.0,BOGOTA
459.0,BOGOTA
421.0,BOGOTA
447.0,BOGOTA
434.0,BOGOTA
454.0,BOGOTA
438.01,BOGOTA
421.0,BOGOTA
429.0,BOGOTA
442.0,BOGOTA
445.0,BOGOTA
420.0,BOGOTA
429.0,BOGOTA
435.0,BOGOTA
415.0,BOGOTA
427.0,BOGOTA
427.0,BOGOTA
386.0,BOGOTA
417.0,BOGOTA
414.0,BOGOTA
423.0,BOGOTA
420.0,BOGOTA
428.0,BOGOTA
418.0,BOGOTA
399.0,BOGOTA
412.0,BOGOTA
407.0,BOGOTA
406.0,BOGOTA
403.0,BOGOTA
418.0,BOGOTA
404.0,BOGOTA
402.0,BOGOTA
406.0,BOGOTA
419.0,BOGOTA
418.0,BOGOTA
399.0,BOGOTA
406.0,BOGOTA
416.0,BOGOTA
423.0,BOGOTA
406.58,BOGOTA
421.0,BOGOTA
397.42,BOGOTA
404.0,BOGOTA
415.0,BOGOTA
397.0,BOGOTA
386.0,BOGOTA
428.0,BOGOTA
390.0,BOGOTA
409.0,BOGOTA
397.0,BOGOTA
404.0,BOGOTA
409.0,BOGOTA
409.0,BOGOTA
429.0,BOGOTA
405.0,BOGOTA
394.0,BOGOTA
417.0,BOGOTA
389.0,BOGOTA
391.0,BOGOTA
422.0,BOGOTA
414.58,BOGOTA
412.0,BOGOTA
426.0,BOGOTA
483.0,BOGOTA
489.0,BOGOTA
443.0,BOGOTA
466.0,BOGOTA
479.0,BOGOTA
446.0,BOGOTA
466.0,BOGOTA
453.0,BOGOTA
451.0,BOGOTA
437.0,BOGOTA
455.0,BOGOTA
464.0,BOGOTA
452.0,BOGOTA
447.0,BOGOTA
458.0,BOGOTA
445.0,BOGOTA
437.0,BOGOTA
443.0,BOGOTA
441.0,BOGOTA
459.0,BOGOTA
448.0,BOGOTA
453.0,BOGOTA
428.0,BOGOTA
461.0,BOGOTA
426.0,BOGOTA
453.0,BOGOTA
448.0,BOGOTA
458.0,BOGOTA
451.0,BOGOTA
419.0,BOGOTA
440.0,BOGOTA
456.0,BOGOTA
457.0,BOGOTA
435.0,BOGOTA
448.0,BOGOTA
435.0,BOGOTA
437.0,BOGOTA
459.0,BOGOTA
434.0,BOGOTA
437.0,BOGOTA
420.0,BOGOTA
450.0,BOGOTA
425.0,BOGOTA
431.0,BOGOTA
439.0,BOGOTA
463.0,BOGOTA
434.0,BOGOTA
440.0,BOGOTA
419.0,BOGOTA
437.0,BOGOTA
443.0,BOGOTA
438.0,BOGOTA
439.0,BOGOTA
440.0,BOGOTA
444.0,BOGOTA
425.0,BOGOTA
449.0,BOGOTA
451.0,BOGOTA
459.0,BOGOTA
429.0,BOGOTA
417.0,BOGOTA
454.0,BOGOTA
416.0,BOGOTA
414.0,BOGOTA
436.0,BOGOTA
433.0,BOGOTA
426.0,BOGOTA
460.0,BOGOTA
447.0,BOGOTA
451.0,BOGOTA
424.0,BOGOTA
422.0,BOGOTA
448.0,BOGOTA
439.0,BOGOTA
463.0,BOGOTA
415.0,BOGOTA
437.0,BOGOTA
446.0,BOGOTA
392.0,BOGOTA
362.0,BOGOTA
380.0,BOGOTA
436.0,BOGOTA
418.0,BOGOTA
396.0,BOGOTA
387.0,BOGOTA
458.0,BOGOTA
468.0,BOGOTA
436.0,BOGOTA
436.0,BOGOTA
436.0,BOGOTA
430.0,BOGOTA
437.0,BOGOTA
438.0,BOGOTA
437.0,BOGOTA
438.0,BOGOTA
442.0,BOGOTA
440.0,BOGOTA
388.0,BOGOTA
428.0,BOGOTA
450.0,BOGOTA
432.0,BOGOTA
436.0,BOGOTA
432.0,BOGOTA
427.0,BOGOTA
434.0,BOGOTA
414.0,BOGOTA
426.0,BOGOTA
447.0,BOGOTA
433.0,BOGOTA
412.0,BOGOTA
433.0,BOGOTA
441.0,BOGOTA
432.0,BOGOTA
423.0,BOGOTA
426.0,BOGOTA
415.0,BOGOTA
424.0,BOGOTA
440.0,BOGOTA
423.0,BOGOTA
433.0,BOGOTA
426.0,BOGOTA
412.0,BOGOTA
423.0,BOGOTA
409.0,BOGOTA
419.0,BOGOTA
423.0,BOGOTA
406.0,BOGOTA
443.0,BOGOTA
422.0,BOGOTA
419.0,BOGOTA
416.0,BOGOTA
426.0,BOGOTA
424.0,BOGOTA
419.0,BOGOTA
423.0,BOGOTA
425.0,BOGOTA
422.0,BOGOTA
419.0,BOGOTA
414.0,BOGOTA
421.0,BOGOTA
415.0,BOGOTA
418.0,BOGOTA
416.0,BOGOTA
411.0,BOGOTA
406.0,BOGOTA
412.0,BOGOTA
400.0,BOGOTA
413.0,BOGOTA
416.0,BOGOTA
409.0,BOGOTA
412.0,BOGOTA
411.0,BOGOTA
390.0,BOGOTA
388.0,BOGOTA
362.0,BOGOTA
356.87,BOGOTA
366.0,BOGOTA
404.0,BOGOTA
370.0,BOGOTA
397.0,BOGOTA
411.0,BOGOTA
449.0,BOGOTA
443.0,BOGOTA
462.0,BOGOTA
443.0,BOGOTA
433.0,BOGOTA
420.0,BOGOTA
406.0,BOGOTA
419.0,BOGOTA
418.0,BOGOTA
427.0,BOGOTA
420.0,BOGOTA
373.0,BOGOTA
400.0,BOGOTA
363.0,BOGOTA
444.0,BOGOTA
378.0,BOGOTA
387.0,BOGOTA
377.0,BOGOTA
357.0,BOGOTA
372.0,BOGOTA
358.0,BOGOTA
358.0,BOGOTA
361.0,BOGOTA
359.0,BOGOTA
349.0,BOGOTA
356.0,BOGOTA
348.0,BOGOTA
338.0,BOGOTA
347.0,BOGOTA
343.0,BOGOTA
345.0,BOGOTA
341.0,BOGOTA
340.0,BOGOTA
349.0,BOGOTA
342.0,BOGOTA
483.0,BOGOTA
456.0,BOGOTA
443.0,BOGOTA
426.0,BOGOTA
442.0,BOGOTA
434.0,BOGOTA
430.0,BOGOTA
462.0,BOGOTA
423.0,BOGOTA
452.57,BOGOTA
437.0,BOGOTA
427.44,BOGOTA
429.0,BOGOTA
399.0,BOGOTA
435.0,BOGOTA
427.0,BOGOTA
421.0,BOGOTA
426.0,BOGOTA
418.0,BOGOTA
292.0,BOGOTA
360.0,BOGOTA
334.0,BOGOTA
322.0,BOGOTA
433.0,BOGOTA
340.0,BOGOTA
288.0,BOGOTA
352.0,BOGOTA
419.0,BOGOTA
321.0,BOGOTA
345.0,BOGOTA
351.0,BOGOTA
344.0,BOGOTA
342.0,BOGOTA
412.0,BOGOTA
405.0,BOGOTA
343.0,BOGOTA
348.0,BOGOTA
355.0,BOGOTA
465.0,BOGOTA
438.0,BOGOTA
426.0,BOGOTA
443.0,BOGOTA
443.0,BOGOTA
517.0,BOGOTA
412.0,BOGOTA
428.0,BOGOTA
408.0,BOGOTA
414.98,BOGOTA
395.0,BOGOTA
385.0,BOGOTA
429.0,BOGOTA
361.0,BOGOTA
431.0,BOGOTA
405.0,BOGOTA
408.0,BOGOTA
410.0,BOGOTA
382.0,BOGOTA
453.0,BOGOTA
422.0,BOGOTA
419.0,BOGOTA
490.0,BOGOTA
408.0,BOGOTA
422.0,BOGOTA
428.0,BOGOTA
439.0,BOGOTA
451.0,BOGOTA
517.0,BOGOTA
436.0,BOGOTA
414.0,BOGOTA
407.0,BOGOTA
393.0,BOGOTA
377.0,BOGOTA
395.0,BOGOTA
483.26,HUILA
521.26,HUILA
401.52,HUILA
436.0,HUILA
401.52,HUILA
474.0,HUILA
456.0,CUNDINAMARCA
425.0,CUNDINAMARCA
352.0,CUNDINAMARCA
474.21,NO REGISTRA
385.43,NO REGISTRA
487.76,NO REGISTRA
452.72,NO REGISTRA
484.55,NO REGISTRA
541.9,NO REGISTRA
477.27,NO REGISTRA
457.6,NO REGISTRA
471.77,NO REGISTRA
451.04,NO REGISTRA
422.76,NO REGISTRA
435.28,NO REGISTRA
438.37,NO REGISTRA
434.86,NO REGISTRA
459.4,NO REGISTRA
432.26,NO REGISTRA
444.43,NO REGISTRA
421.58,NO REGISTRA
437.48,NO REGISTRA
441.78,NO REGISTRA
414.33,NO REGISTRA
415.37,NO REGISTRA
425.22,NO REGISTRA
433.88,NO REGISTRA
414.97,NO REGISTRA
420.69,NO REGISTRA
434.36,NO REGISTRA
428.94,NO REGISTRA
413.7,NO REGISTRA
432.04,NO REGISTRA
427.2,NO REGISTRA
384.5,NO REGISTRA
413.58,NO REGISTRA
389.13,NO REGISTRA
402.23,NO REGISTRA
402.84,NO REGISTRA
389.81,NO REGISTRA
402.63,NO REGISTRA
401.54,NO REGISTRA
404.46,NO REGISTRA
396.95,NO REGISTRA
404.7,NO REGISTRA
401.63,NO REGISTRA
394.32,NO REGISTRA
380.41,NO REGISTRA
378.38,NO REGISTRA
430.12,NO REGISTRA
419.71,NO REGISTRA
403.25,NO REGISTRA
440.0,NO REGISTRA
426.53,NO REGISTRA
431.0,NO REGISTRA
483.0,NO REGISTRA
447.0,NO REGISTRA
442.0,NO REGISTRA
454.0,NO REGISTRA
428.0,NO REGISTRA
451.0,NO REGISTRA
425.0,NO REGISTRA
442.0,NO REGISTRA
444.0,NO REGISTRA
420.0,NO REGISTRA
421.0,NO REGISTRA
441.0,NO REGISTRA
427.0,NO REGISTRA
414.0,NO REGISTRA
421.0,NO REGISTRA
417.0,NO REGISTRA
409.0,NO REGISTRA
405.0,NO REGISTRA
404.0,NO REGISTRA
427.44,NO REGISTRA
387.0,NO REGISTRA
423.0,NO REGISTRA
417.0,NO REGISTRA
419.0,NO REGISTRA
417.0,NO REGISTRA
412.0,NO REGISTRA
423.65,NO REGISTRA
431.0,NO REGISTRA
407.0,NO REGISTRA
375.0,NO REGISTRA
430.0,NO REGISTRA
423.0,NO REGISTRA
390.0,NO REGISTRA
416.0,NO REGISTRA
403.0,NO REGISTRA
409.54,NO REGISTRA
415.0,NO REGISTRA
415.0,NO REGISTRA
408.0,NO REGISTRA
401.0,NO REGISTRA
416.0,NO REGISTRA
423.0,NO REGISTRA
389.0,NO REGISTRA
357.0,NO REGISTRA
386.0,NO REGISTRA
368.0,NO REGISTRA
419.71,NO REGISTRA
442.0,NO REGISTRA
420.0,NO REGISTRA
416.0,NO REGISTRA
423.0,NO REGISTRA
379.0,NO REGISTRA
352.0,NO REGISTRA
482.0,NO REGISTRA
456.0,NO REGISTRA
425.0,NO REGISTRA
439.0,NO REGISTRA
440.0,NO REGISTRA
445.0,NO REGISTRA
439.0,NO REGISTRA
462.0,NO REGISTRA
451.0,NO REGISTRA
439.0,NO REGISTRA
427.0,NO REGISTRA
428.0,NO REGISTRA
448.0,NO REGISTRA
416.0,NO REGISTRA
436.0,NO REGISTRA
429.0,NO REGISTRA
390.0,NO REGISTRA
409.0,NO REGISTRA
438.0,NO REGISTRA
411.0,NO REGISTRA
425.0,NO REGISTRA
412.0,NO REGISTRA
421.0,NO REGISTRA
421.0,NO REGISTRA
409.0,NO REGISTRA
422.0,NO REGISTRA
401.0,NO REGISTRA
428.0,NO REGISTRA
411.0,NO REGISTRA
401.0,NO REGISTRA
411.0,NO REGISTRA
415.0,NO REGISTRA
401.0,NO REGISTRA
406.0,NO REGISTRA
408.0,NO REGISTRA
396.0,NO REGISTRA
434.0,NO REGISTRA
406.0,NO REGISTRA
395.0,NO REGISTRA
410.0,NO REGISTRA
403.0,NO REGISTRA
470.41,NO REGISTRA
510.0,NO REGISTRA
455.0,NO REGISTRA
444.0,NO REGISTRA
450.0,NO REGISTRA
409.3,NO REGISTRA
423.0,NO REGISTRA
474.0,NO REGISTRA
453.0,NO REGISTRA
441.0,NO REGISTRA
448.0,NO REGISTRA
429.0,NO REGISTRA
436.0,NO REGISTRA
463.0,NO REGISTRA
440.0,NO REGISTRA
432.0,NO REGISTRA
420.0,NO REGISTRA
436.0,NO REGISTRA
443.0,NO REGISTRA
403.0,NO REGISTRA
427.0,NO REGISTRA
425.0,NO REGISTRA
426.0,NO REGISTRA
422.0,NO REGISTRA
432.0,NO REGISTRA
423.0,NO REGISTRA
403.0,NO REGISTRA
411.0,NO REGISTRA
412.0,NO REGISTRA
411.0,NO REGISTRA
407.0,NO REGISTRA
396.0,NO REGISTRA
380.41,NO REGISTRA
412.0,NO REGISTRA
394.0,NO REGISTRA
362.0,NO REGISTRA
385.0,NO REGISTRA
397.0,NO REGISTRA
394.0,NO REGISTRA
382.0,NO REGISTRA
390.0,NO REGISTRA
389.0,NO REGISTRA
375.0,NO REGISTRA
382.0,NO REGISTRA
382.0,NO REGISTRA
372.0,NO REGISTRA
375.0,NO REGISTRA
366.0,NO REGISTRA
347.0,NO REGISTRA
376.0,NO REGISTRA
377.0,NO REGISTRA
368.0,NO REGISTRA
379.0,NO REGISTRA
374.0,NO REGISTRA
373.0,NO REGISTRA
367.0,NO REGISTRA
362.0,NO REGISTRA
364.0,NO REGISTRA
376.0,NO REGISTRA
368.0,NO REGISTRA
367.0,NO REGISTRA
362.0,NO REGISTRA
344.0,NO REGISTRA
349.0,NO REGISTRA
371.0,NO REGISTRA
363.0,NO REGISTRA
358.0,NO REGISTRA
366.0,NO REGISTRA
369.0,NO REGISTRA
366.0,NO REGISTRA
360.0,NO REGISTRA
362.0,NO REGISTRA
365.0,NO REGISTRA
353.0,NO REGISTRA
359.0,NO REGISTRA
364.0,NO REGISTRA
357.0,NO REGISTRA
350.0,NO REGISTRA
367.0,NO REGISTRA
356.0,NO REGISTRA
364.0,NO REGISTRA
353.0,NO REGISTRA
356.0,NO REGISTRA
357.0,NO REGISTRA
359.0,NO REGISTRA
357.0,NO REGISTRA
339.0,NO REGISTRA
372.0,NO REGISTRA
357.0,NO REGISTRA
354.0,NO REGISTRA
349.0,NO REGISTRA
358.0,NO REGISTRA
351.0,NO REGISTRA
357.0,NO REGISTRA
347.0,NO REGISTRA
358.0,NO REGISTRA
355.0,NO REGISTRA
350.0,NO REGISTRA
362.0,NO REGISTRA
355.0,NO REGISTRA
358.0,NO REGISTRA
345.0,NO REGISTRA
355.0,NO REGISTRA
355.0,NO REGISTRA
355.0,NO REGISTRA
356.0,NO REGISTRA
359.0,NO REGISTRA
343.0,NO REGISTRA
356.0,NO REGISTRA
357.0,NO REGISTRA
348.0,NO REGISTRA
306.0,NO REGISTRA
324.0,NO REGISTRA
307.0,NO REGISTRA
307.0,NO REGISTRA
290.0,NO REGISTRA
307.0,NO REGISTRA
311.0,NO REGISTRA
310.0,NO REGISTRA
359.0,NO REGISTRA
352.0,NO REGISTRA
358.0,NO REGISTRA
317.0,NO REGISTRA
423.0,NO REGISTRA
362.0,NO REGISTRA
319.0,NO REGISTRA
312.0,NO REGISTRA
288.0,NO REGISTRA
343.0,NO REGISTRA
339.0,NO REGISTRA
352.0,NO REGISTRA
341.0,NO REGISTRA
347.0,NO REGISTRA
356.0,NO REGISTRA
351.0,NO REGISTRA
355.0,NO REGISTRA
346.0,NO REGISTRA
393.0,NO REGISTRA
380.0,NO REGISTRA
377.0,NO REGISTRA
387.0,NO REGISTRA
379.0,NO REGISTRA
381.0,NO REGISTRA
382.0,NO REGISTRA
372.0,NO REGISTRA
370.0,NO REGISTRA
363.0,NO REGISTRA
361.0,NO REGISTRA
367.0,NO REGISTRA
358.0,NO REGISTRA
356.0,NO REGISTRA
362.0,NO REGISTRA
371.0,NO REGISTRA
347.0,NO REGISTRA
361.0,NO REGISTRA
352.0,NO REGISTRA
335.0,NO REGISTRA
342.0,NO REGISTRA
347.0,NO REGISTRA
358.0,NO REGISTRA
353.0,NO REGISTRA
337.0,NO REGISTRA
355.0,NO REGISTRA
349.0,NO REGISTRA
348.0,NO REGISTRA
345.0,NO REGISTRA
345.0,NO REGISTRA
337.0,NO REGISTRA
349.0,NO REGISTRA
355.0,NO REGISTRA
346.0,NO REGISTRA
335.0,NO REGISTRA
441.0,NO REGISTRA
415.0,NO REGISTRA
438.0,NO REGISTRA
351.0,NO REGISTRA
356.0,NO REGISTRA
299.0,NO REGISTRA
310.0,NO REGISTRA
296.0,NO REGISTRA
419.56,NO REGISTRA
401.0,NO REGISTRA
355.0,NO REGISTRA
337.0,NO REGISTRA
348.0,NO REGISTRA
341.0,NO REGISTRA
341.0,NO REGISTRA
337.0,NO REGISTRA
369.0,NO REGISTRA
367.0,NO REGISTRA
373.0,NO REGISTRA
356.0,NO REGISTRA
374.0,NO REGISTRA
377.0,NO REGISTRA
352.0,NO REGISTRA
354.0,NO REGISTRA
383.0,NO REGISTRA
387.0,NO REGISTRA
358.0,NO REGISTRA
378.0,NO REGISTRA
368.0,NO REGISTRA
364.0,NO REGISTRA
405.0,NO REGISTRA
364.0,NO REGISTRA
353.0,NO REGISTRA
367.0,NO REGISTRA
382.0,NO REGISTRA
365.0,NO REGISTRA
371.0,NO REGISTRA
372.0,NO REGISTRA
367.0,NO REGISTRA
395.0,NO REGISTRA
368.0,NO REGISTRA
366.0,NO REGISTRA
362.0,NO REGISTRA
379.0,NO REGISTRA
367.0,NO REGISTRA
367.0,NO REGISTRA
356.0,NO REGISTRA
370.0,NO REGISTRA
362.0,NO REGISTRA
369.0,NO REGISTRA
372.0,NO REGISTRA
367.0,NO REGISTRA
380.0,NO REGISTRA
393.0,NO REGISTRA
354.0,NO REGISTRA
338.0,NO REGISTRA
375.0,NO REGISTRA
386.0,NO REGISTRA
