PG_ICFES,TIPO_COLEGIO
346.0,NO REGISTRA
342.0,NO REGISTRA
355.0,NO REGISTRA
342.0,NO REGISTRA
337.0,NO REGISTRA
330.0,NO REGISTRA
441.0,OFICIAL
446.0,OFICIAL
444.0,OFICIAL
410.0,OFICIAL
438.0,NO OFICIAL
430.0,OFICIAL
414.0,NO OFICIAL
429.0,OFICIAL
392.0,OFICIAL
417.0,OFICIAL
450.0,OFICIAL
428.0,NO OFICIAL
401.0,OFICIAL
419.0,NO OFICIAL
410.0,NO OFICIAL
402.0,OFICIAL
409.0,OFICIAL
416.33,NO OFICIAL
409.0,NO OFICIAL
416.0,OFICIAL
400.0,OFICIAL
420.0,NO OFICIAL
330.0,OFICIAL
339.0,NO REGISTRA
411.0,OFICIAL
367.0,OFICIAL
412.0,NO OFICIAL
307.0,NO REGISTRA
384.0,NO REGISTRA
413.0,OFICIAL
427.0,NO OFICIAL
335.0,NO REGISTRA
348.0,NO REGISTRA
324.0,NO REGISTRA
340.0,NO REGISTRA
345.0,NO REGISTRA
330.0,NO REGISTRA
342.0,NO REGISTRA
327.0,NO REGISTRA
340.0,NO REGISTRA
334.0,NO REGISTRA
334.0,NO REGISTRA
339.0,NO REGISTRA
345.0,NO REGISTRA
333.0,NO REGISTRA
401.0,NO REGISTRA
372.0,NO OFICIAL
393.0,NO OFICIAL
373.0,NO REGISTRA
378.0,NO REGISTRA
394.0,NO REGISTRA
382.0,NO REGISTRA
387.0,NO OFICIAL
386.0,NO REGISTRA
359.0,NO REGISTRA
359.0,NO REGISTRA
354.0,NO OFICIAL
361.0,NO REGISTRA
348.0,NO REGISTRA
340.0,NO REGISTRA
348.0,OFICIAL
345.0,NO REGISTRA
358.0,NO REGISTRA
357.0,NO OFICIAL
337.0,NO REGISTRA
341.0,NO REGISTRA
360.0,NO REGISTRA
337.0,OFICIAL
345.0,OFICIAL
351.0,OFICIAL
335.0,NO OFICIAL
329.0,NO REGISTRA
337.0,OFICIAL
350.0,NO REGISTRA
353.0,NO REGISTRA
337.0,NO REGISTRA
338.0,NO REGISTRA
339.0,NO REGISTRA
335.0,NO REGISTRA
338.0,NO REGISTRA
343.0,OFICIAL
346.0,NO REGISTRA
327.0,NO REGISTRA
338.0,OFICIAL
340.0,OFICIAL
355.0,NO OFICIAL
333.0,NO REGISTRA
324.0,NO REGISTRA
333.0,NO REGISTRA
342.0,NO OFICIAL
335.0,NO REGISTRA
322.0,NO REGISTRA
336.0,OFICIAL
333.0,NO OFICIAL
332.0,NO REGISTRA
323.0,NO REGISTRA
325.0,NO REGISTRA
335.0,OFICIAL
329.0,NO REGISTRA
340.0,NO OFICIAL
330.0,NO REGISTRA
439.0,OFICIAL
431.0,NO OFICIAL
428.0,OFICIAL
426.0,NO OFICIAL
415.0,OFICIAL
439.0,NO OFICIAL
427.0,NO OFICIAL
413.0,NO REGISTRA
393.0,OFICIAL
419.0,NO OFICIAL
427.0,OFICIAL
418.0,NO REGISTRA
424.0,NO OFICIAL
432.0,OFICIAL
413.0,OFICIAL
399.0,NO OFICIAL
425.0,OFICIAL
408.0,OFICIAL
393.0,NO REGISTRA
426.0,OFICIAL
393.0,OFICIAL
412.0,NO OFICIAL
418.0,NO REGISTRA
400.0,NO OFICIAL
392.0,OFICIAL
393.0,NO OFICIAL
396.0,OFICIAL
407.0,NO OFICIAL
394.0,OFICIAL
411.0,NO OFICIAL
394.0,NO OFICIAL
395.0,OFICIAL
311.0,OFICIAL
282.0,NO OFICIAL
386.0,OFICIAL
285.0,NO REGISTRA
390.0,NO OFICIAL
412.0,OFICIAL
374.0,OFICIAL
332.0,OFICIAL
295.0,OFICIAL
374.52,OFICIAL
358.0,OFICIAL
350.0,OFICIAL
322.0,OFICIAL
327.0,NO OFICIAL
332.0,NO OFICIAL
363.0,NO REGISTRA
322.0,NO OFICIAL
312.0,OFICIAL
334.0,NO OFICIAL
332.0,NO OFICIAL
337.0,OFICIAL
340.0,OFICIAL
326.0,OFICIAL
336.0,NO OFICIAL
412.0,OFICIAL
410.0,OFICIAL
322.0,NO REGISTRA
315.0,NO OFICIAL
328.0,NO REGISTRA
327.0,NO OFICIAL
318.0,NO REGISTRA
327.0,NO REGISTRA
393.0,NO OFICIAL
317.0,OFICIAL
323.0,NO OFICIAL
321.0,NO OFICIAL
330.0,OFICIAL
332.0,NO REGISTRA
330.0,NO REGISTRA
451.0,NO OFICIAL
366.0,NO REGISTRA
359.0,NO REGISTRA
378.0,NO REGISTRA
451.0,OFICIAL
486.0,OFICIAL
358.0,NO REGISTRA
402.0,NO REGISTRA
415.0,NO REGISTRA
355.0,NO REGISTRA
341.0,NO REGISTRA
353.0,NO REGISTRA
341.0,NO REGISTRA
345.0,NO REGISTRA
373.0,NO REGISTRA
436.0,NO REGISTRA
463.0,NO REGISTRA
362.0,NO REGISTRA
355.0,NO REGISTRA
365.0,NO REGISTRA
355.0,NO REGISTRA
375.0,NO REGISTRA
358.0,NO REGISTRA
359.0,NO REGISTRA
369.0,NO REGISTRA
341.0,NO REGISTRA
346.0,NO REGISTRA
367.0,NO REGISTRA
394.0,NO REGISTRA
397.0,NO REGISTRA
358.0,NO REGISTRA
370.0,NO REGISTRA
351.0,NO REGISTRA
387.0,NO REGISTRA
380.0,NO REGISTRA
374.0,NO REGISTRA
371.0,NO REGISTRA
353.0,NO REGISTRA
381.0,NO REGISTRA
382.0,NO REGISTRA
361.0,NO REGISTRA
366.0,NO REGISTRA
376.0,NO REGISTRA
398.0,NO REGISTRA
340.0,NO REGISTRA
355.0,NO REGISTRA
439.0,OFICIAL
429.0,NO OFICIAL
368.0,NO REGISTRA
378.0,NO REGISTRA
360.0,NO REGISTRA
381.0,NO REGISTRA
365.0,NO REGISTRA
367.0,NO REGISTRA
363.0,NO REGISTRA
362.0,NO REGISTRA
374.0,NO REGISTRA
449.0,NO OFICIAL
368.0,NO REGISTRA
370.0,NO REGISTRA
387.0,NO REGISTRA
388.0,NO REGISTRA
345.0,NO REGISTRA
349.0,NO REGISTRA
385.0,NO REGISTRA
359.0,NO REGISTRA
343.0,NO REGISTRA
345.0,NO REGISTRA
397.0,NO REGISTRA
363.0,NO REGISTRA
359.0,NO REGISTRA
367.0,NO REGISTRA
360.0,NO REGISTRA
360.0,NO REGISTRA
438.0,OFICIAL
368.0,NO REGISTRA
360.0,NO REGISTRA
367.0,NO REGISTRA
349.0,NO REGISTRA
341.0,NO REGISTRA
423.0,NO OFICIAL
353.0,NO REGISTRA
365.0,NO REGISTRA
365.0,NO REGISTRA
363.0,NO REGISTRA
358.0,NO REGISTRA
383.0,NO REGISTRA
417.0,NO REGISTRA
294.0,NO REGISTRA
286.0,NO REGISTRA
311.0,NO REGISTRA
298.0,NO REGISTRA
331.0,NO REGISTRA
335.0,NO REGISTRA
340.0,NO REGISTRA
347.0,NO REGISTRA
328.0,NO REGISTRA
338.0,NO REGISTRA
341.0,NO REGISTRA
345.0,NO REGISTRA
341.0,NO REGISTRA
360.0,NO REGISTRA
355.0,NO REGISTRA
346.0,NO REGISTRA
348.0,NO REGISTRA
435.0,NO OFICIAL
404.0,NO OFICIAL
423.0,OFICIAL
356.0,NO REGISTRA
344.0,NO REGISTRA
353.0,NO REGISTRA
350.0,NO REGISTRA
345.0,NO REGISTRA
352.0,NO REGISTRA
338.0,NO REGISTRA
340.0,NO REGISTRA
343.0,NO REGISTRA
352.0,NO REGISTRA
347.0,NO REGISTRA
350.0,NO REGISTRA
395.0,NO REGISTRA
365.0,NO REGISTRA
385.0,NO REGISTRA
367.0,NO REGISTRA
368.0,NO REGISTRA
364.0,NO REGISTRA
358.0,NO REGISTRA
353.0,NO REGISTRA
348.0,NO REGISTRA
353.0,NO REGISTRA
354.0,NO REGISTRA
358.0,NO REGISTRA
341.0,NO REGISTRA
352.0,NO REGISTRA
360.0,NO REGISTRA
359.0,NO REGISTRA
356.0,NO REGISTRA
358.0,NO REGISTRA
351.0,NO REGISTRA
342.0,NO REGISTRA
349.0,NO REGISTRA
356.0,NO REGISTRA
347.0,NO REGISTRA
348.0,NO REGISTRA
365.0,NO REGISTRA
339.0,NO REGISTRA
351.0,NO REGISTRA
340.0,NO REGISTRA
342.0,NO REGISTRA
347.0,NO REGISTRA
355.0,NO REGISTRA
334.0,NO REGISTRA
335.0,NO REGISTRA
346.0,NO REGISTRA
337.0,NO REGISTRA
333.0,NO REGISTRA
333.0,NO REGISTRA
348.0,NO REGISTRA
332.0,NO REGISTRA
338.0,NO REGISTRA
339.0,NO REGISTRA
347.0,NO REGISTRA
326.0,NO REGISTRA
337.0,NO REGISTRA
332.0,NO REGISTRA
341.0,NO REGISTRA
334.0,NO REGISTRA
333.0,NO REGISTRA
366.0,NO REGISTRA
348.0,NO REGISTRA
299.0,NO REGISTRA
302.0,NO REGISTRA
335.0,NO REGISTRA
415.0,NO OFICIAL
409.0,OFICIAL
415.0,NO OFICIAL
409.0,NO OFICIAL
427.0,OFICIAL
427.0,NO REGISTRA
429.0,OFICIAL
441.0,OFICIAL
406.0,NO OFICIAL
411.0,OFICIAL
338.0,NO REGISTRA
353.0,NO REGISTRA
347.0,NO REGISTRA
345.0,NO REGISTRA
334.0,NO REGISTRA
345.0,NO REGISTRA
329.0,NO REGISTRA
368.0,NO REGISTRA
345.0,NO REGISTRA
345.0,NO REGISTRA
380.0,NO REGISTRA
331.0,NO REGISTRA
340.0,NO REGISTRA
368.0,NO REGISTRA
373.0,NO REGISTRA
365.0,NO REGISTRA
342.0,NO REGISTRA
351.0,NO REGISTRA
346.0,NO REGISTRA
339.0,NO REGISTRA
365.0,NO REGISTRA
379.0,NO REGISTRA
358.0,NO REGISTRA
366.0,NO REGISTRA
385.0,NO REGISTRA
344.0,NO REGISTRA
368.0,NO REGISTRA
366.0,NO REGISTRA
377.0,NO REGISTRA
339.0,NO REGISTRA
338.0,NO REGISTRA
353.0,NO REGISTRA
352.0,NO REGISTRA
424.0,NO REGISTRA
347.0,NO REGISTRA
351.0,NO REGISTRA
304.0,NO REGISTRA
448.0,NO OFICIAL
463.0,NO OFICIAL
417.0,OFICIAL
447.0,OFICIAL
451.0,OFICIAL
437.0,NO REGISTRA
306.0,NO REGISTRA
308.0,NO REGISTRA
325.0,NO REGISTRA
330.0,NO REGISTRA
332.0,NO REGISTRA
332.0,NO REGISTRA
331.0,NO REGISTRA
423.0,OFICIAL
407.0,NO OFICIAL
342.0,NO REGISTRA
335.0,NO REGISTRA
332.0,NO REGISTRA
407.0,NO OFICIAL
413.0,OFICIAL
398.0,NO OFICIAL
341.0,NO REGISTRA
333.0,NO REGISTRA
339.0,NO REGISTRA
332.0,NO REGISTRA
337.0,NO REGISTRA
334.0,NO REGISTRA
334.0,NO REGISTRA
353.0,NO REGISTRA
350.0,NO REGISTRA
347.0,NO REGISTRA
342.0,NO REGISTRA
356.0,NO REGISTRA
437.0,NO OFICIAL
312.0,NO REGISTRA
358.0,NO REGISTRA
358.0,NO REGISTRA
460.0,NO OFICIAL
352.0,NO REGISTRA
356.0,NO REGISTRA
375.0,NO REGISTRA
303.0,NO REGISTRA
311.0,NO REGISTRA
360.0,NO REGISTRA
355.0,NO REGISTRA
352.0,NO REGISTRA
359.0,NO REGISTRA
351.0,NO REGISTRA
365.0,NO REGISTRA
358.0,NO REGISTRA
360.0,NO REGISTRA
376.0,NO REGISTRA
353.0,NO REGISTRA
356.0,NO REGISTRA
362.0,NO REGISTRA
341.0,NO REGISTRA
351.0,NO REGISTRA
354.0,NO REGISTRA
356.0,NO REGISTRA
352.0,OFICIAL
373.0,NO REGISTRA
378.0,NO REGISTRA
353.0,NO REGISTRA
358.0,NO REGISTRA
355.0,NO REGISTRA
346.0,NO REGISTRA
346.0,NO REGISTRA
380.0,NO REGISTRA
350.0,NO REGISTRA
366.0,NO REGISTRA
343.0,NO REGISTRA
343.0,NO REGISTRA
359.0,NO REGISTRA
355.0,NO REGISTRA
356.0,NO REGISTRA
368.0,NO REGISTRA
364.0,NO REGISTRA
374.0,NO REGISTRA
355.0,NO REGISTRA
368.0,NO REGISTRA
351.0,NO REGISTRA
356.0,NO REGISTRA
347.0,NO REGISTRA
375.0,NO REGISTRA
345.0,NO REGISTRA
367.0,NO REGISTRA
363.0,NO REGISTRA
334.0,NO REGISTRA
355.0,NO REGISTRA
352.0,NO REGISTRA
363.0,NO REGISTRA
351.0,NO REGISTRA
369.0,NO REGISTRA
359.0,NO REGISTRA
360.0,NO REGISTRA
344.0,NO REGISTRA
365.0,NO REGISTRA
367.0,NO REGISTRA
351.0,NO REGISTRA
362.0,NO REGISTRA
380.0,NO REGISTRA
359.0,NO REGISTRA
354.0,NO REGISTRA
360.0,NO REGISTRA
348.0,NO REGISTRA
351.0,NO REGISTRA
358.0,NO REGISTRA
366.0,NO REGISTRA
350.0,NO REGISTRA
355.0,NO REGISTRA
348.0,NO REGISTRA
353.0,NO REGISTRA
345.0,NO REGISTRA
350.0,NO REGISTRA
350.0,NO REGISTRA
371.0,NO REGISTRA
352.0,NO REGISTRA
347.0,NO REGISTRA
358.0,NO REGISTRA
355.0,NO REGISTRA
341.0,NO REGISTRA
409.0,NO OFICIAL
352.0,NO REGISTRA
375.0,NO REGISTRA
347.0,NO REGISTRA
377.0,NO REGISTRA
382.0,NO REGISTRA
345.0,NO REGISTRA
363.0,NO REGISTRA
346.0,NO REGISTRA
349.0,NO REGISTRA
346.0,NO REGISTRA
354.0,NO REGISTRA
335.0,NO REGISTRA
330.0,NO REGISTRA
343.0,NO REGISTRA
344.0,NO REGISTRA
355.0,NO REGISTRA
350.0,NO REGISTRA
351.0,NO REGISTRA
348.0,NO REGISTRA
340.0,NO REGISTRA
351.0,NO REGISTRA
355.0,NO REGISTRA
354.0,NO REGISTRA
339.0,NO REGISTRA
348.0,NO REGISTRA
339.0,NO REGISTRA
357.0,NO REGISTRA
343.0,NO REGISTRA
346.0,NO REGISTRA
364.0,NO REGISTRA
342.0,NO REGISTRA
338.0,NO REGISTRA
342.0,NO REGISTRA
341.0,NO REGISTRA
392.0,NO REGISTRA
340.0,NO REGISTRA
341.0,NO REGISTRA
343.0,NO REGISTRA
335.0,NO REGISTRA
332.0,NO REGISTRA
346.0,NO REGISTRA
373.0,NO REGISTRA
341.0,NO REGISTRA
354.0,NO REGISTRA
348.0,NO REGISTRA
342.0,NO REGISTRA
355.0,NO REGISTRA
362.0,NO REGISTRA
388.0,NO REGISTRA
363.0,NO REGISTRA
345.0,NO REGISTRA
343.0,NO REGISTRA
334.0,NO REGISTRA
340.0,NO REGISTRA
336.0,NO REGISTRA
387.0,NO REGISTRA
337.0,NO REGISTRA
344.0,NO REGISTRA
341.0,NO REGISTRA
347.0,NO REGISTRA
345.0,NO REGISTRA
344.0,NO REGISTRA
353.0,NO REGISTRA
347.0,NO REGISTRA
354.0,NO REGISTRA
340.0,NO REGISTRA
353.0,NO REGISTRA
351.0,NO REGISTRA
351.0,NO REGISTRA
316.0,NO REGISTRA
347.0,NO REGISTRA
348.0,NO REGISTRA
337.0,NO REGISTRA
331.0,NO REGISTRA
349.0,NO REGISTRA
347.0,NO REGISTRA
337.0,NO REGISTRA
355.0,NO REGISTRA
350.0,NO REGISTRA
369.0,NO REGISTRA
335.0,NO REGISTRA
338.0,NO REGISTRA
387.0,NO REGISTRA
363.0,NO REGISTRA
345.0,NO REGISTRA
355.0,NO REGISTRA
388.0,NO REGISTRA
342.0,NO REGISTRA
357.0,NO REGISTRA
374.0,OFICIAL
366.0,NO REGISTRA
335.0,NO REGISTRA
342.0,NO REGISTRA
343.0,NO REGISTRA
362.0,NO REGISTRA
336.0,NO REGISTRA
345.0,NO REGISTRA
333.0,NO REGISTRA
335.0,NO REGISTRA
341.0,NO REGISTRA
352.0,NO REGISTRA
359.0,NO REGISTRA
333.0,NO REGISTRA
378.0,NO REGISTRA
336.0,NO REGISTRA
369.0,NO REGISTRA
348.0,NO REGISTRA
348.0,NO REGISTRA
354.0,NO REGISTRA
351.0,NO REGISTRA
334.0,NO REGISTRA
347.0,NO REGISTRA
340.0,NO REGISTRA
350.0,NO REGISTRA
355.0,NO REGISTRA
345.0,NO REGISTRA
341.0,NO REGISTRA
303.0,NO REGISTRA
357.0,NO REGISTRA
366.0,NO REGISTRA
325.0,NO REGISTRA
415.0,OFICIAL
355.0,NO REGISTRA
357.0,NO REGISTRA
395.0,NO REGISTRA
347.0,NO REGISTRA
334.0,NO REGISTRA
280.0,NO REGISTRA
340.0,NO REGISTRA
385.0,NO REGISTRA
371.0,NO REGISTRA
342.0,NO REGISTRA
349.0,NO REGISTRA
353.0,NO REGISTRA
345.0,NO REGISTRA
349.0,NO REGISTRA
342.0,NO REGISTRA
340.0,NO REGISTRA
336.0,NO REGISTRA
392.0,OFICIAL
355.0,NO REGISTRA
340.0,NO REGISTRA
335.0,NO REGISTRA
357.0,NO REGISTRA
343.0,NO REGISTRA
336.0,NO REGISTRA
435.0,OFICIAL
404.0,NO OFICIAL
325.0,NO REGISTRA
342.0,NO REGISTRA
333.0,NO REGISTRA
327.0,NO REGISTRA
340.0,NO REGISTRA
396.0,NO REGISTRA
343.0,NO REGISTRA
348.0,NO REGISTRA
353.0,NO REGISTRA
372.0,NO REGISTRA
362.0,NO REGISTRA
360.0,NO REGISTRA
372.0,NO REGISTRA
356.0,NO REGISTRA
354.0,NO REGISTRA
381.0,NO REGISTRA
399.0,NO REGISTRA
304.0,NO REGISTRA
359.0,NO REGISTRA
368.0,NO REGISTRA
353.0,NO REGISTRA
341.0,NO REGISTRA
367.0,NO REGISTRA
359.0,NO REGISTRA
350.0,NO REGISTRA
355.0,NO REGISTRA
346.0,NO REGISTRA
382.0,NO REGISTRA
361.0,NO REGISTRA
354.0,NO REGISTRA
359.0,NO REGISTRA
382.0,NO REGISTRA
352.0,NO REGISTRA
372.0,NO REGISTRA
311.0,NO REGISTRA
363.0,NO REGISTRA
368.0,NO REGISTRA
365.0,NO REGISTRA
344.0,NO REGISTRA
354.0,NO REGISTRA
373.0,NO REGISTRA
360.0,NO REGISTRA
364.0,NO REGISTRA
362.0,NO REGISTRA
362.0,NO REGISTRA
293.0,NO REGISTRA
347.0,NO REGISTRA
360.0,NO REGISTRA
353.0,NO REGISTRA
348.0,NO REGISTRA
346.0,NO REGISTRA
356.0,NO REGISTRA
408.0,NO REGISTRA
358.0,NO REGISTRA
318.0,NO REGISTRA
360.0,NO REGISTRA
347.0,NO REGISTRA
355.0,NO REGISTRA
355.0,NO REGISTRA
340.0,NO REGISTRA
352.0,NO REGISTRA
363.0,NO REGISTRA
374.0,NO REGISTRA
366.0,NO REGISTRA
366.0,NO REGISTRA
447.0,NO OFICIAL
355.0,NO REGISTRA
368.0,NO REGISTRA
346.0,NO REGISTRA
353.0,NO REGISTRA
362.0,NO REGISTRA
365.0,NO REGISTRA
371.0,NO REGISTRA
383.0,NO REGISTRA
346.0,NO REGISTRA
353.0,NO REGISTRA
303.0,NO REGISTRA
350.0,NO REGISTRA
363.0,NO REGISTRA
347.0,NO REGISTRA
365.0,NO REGISTRA
383.0,NO REGISTRA
344.0,NO REGISTRA
358.0,NO REGISTRA
352.0,NO REGISTRA
341.0,NO REGISTRA
362.0,NO REGISTRA
361.0,NO REGISTRA
367.0,NO REGISTRA
306.0,NO REGISTRA
348.0,NO REGISTRA
361.0,NO REGISTRA
342.0,NO REGISTRA
348.0,NO REGISTRA
339.0,NO REGISTRA
360.0,NO REGISTRA
317.0,NO REGISTRA
370.0,NO REGISTRA
354.0,NO REGISTRA
372.0,NO REGISTRA
357.0,NO REGISTRA
351.0,NO REGISTRA
341.0,NO REGISTRA
444.0,OFICIAL
362.0,NO REGISTRA
355.0,NO REGISTRA
378.0,NO REGISTRA
358.0,NO REGISTRA
373.0,NO REGISTRA
337.0,NO REGISTRA
347.0,NO REGISTRA
363.0,NO REGISTRA
342.0,NO REGISTRA
344.0,NO REGISTRA
347.0,NO REGISTRA
342.0,NO REGISTRA
347.0,NO REGISTRA
358.0,NO REGISTRA
354.0,NO REGISTRA
351.0,NO REGISTRA
355.0,NO REGISTRA
355.0,NO REGISTRA
348.0,NO REGISTRA
345.0,NO REGISTRA
345.0,NO REGISTRA
345.0,NO REGISTRA
345.0,NO REGISTRA
348.0,NO REGISTRA
363.0,NO REGISTRA
347.0,NO REGISTRA
383.0,NO REGISTRA
355.0,NO REGISTRA
343.0,NO REGISTRA
346.0,NO REGISTRA
341.0,NO REGISTRA
343.0,NO REGISTRA
363.0,NO REGISTRA
342.0,NO REGISTRA
352.0,NO REGISTRA
357.0,NO REGISTRA
366.0,NO REGISTRA
301.0,NO REGISTRA
311.0,NO REGISTRA
352.0,NO REGISTRA
350.0,NO REGISTRA
348.0,NO REGISTRA
345.0,NO REGISTRA
295.0,NO REGISTRA
353.0,NO REGISTRA
355.0,NO REGISTRA
364.0,NO REGISTRA
372.0,NO REGISTRA
357.0,NO REGISTRA
361.0,NO REGISTRA
339.0,NO REGISTRA
342.0,NO REGISTRA
359.0,NO REGISTRA
382.0,NO REGISTRA
348.0,NO REGISTRA
355.0,NO REGISTRA
342.0,NO REGISTRA
347.0,NO REGISTRA
362.0,NO REGISTRA
332.0,NO REGISTRA
323.0,NO REGISTRA
380.0,NO REGISTRA
357.0,NO REGISTRA
354.0,NO REGISTRA
342.0,NO REGISTRA
356.0,NO REGISTRA
371.0,NO REGISTRA
375.0,NO REGISTRA
340.0,NO REGISTRA
368.0,NO REGISTRA
339.0,NO REGISTRA
347.0,NO REGISTRA
345.0,NO REGISTRA
366.0,NO REGISTRA
342.0,NO REGISTRA
342.0,NO REGISTRA
348.0,NO REGISTRA
345.0,NO REGISTRA
329.0,NO REGISTRA
342.0,NO REGISTRA
348.0,NO REGISTRA
338.0,NO REGISTRA
343.0,NO REGISTRA
350.0,NO REGISTRA
349.0,NO REGISTRA
345.0,NO REGISTRA
361.0,NO REGISTRA
345.0,NO REGISTRA
354.0,NO REGISTRA
352.0,NO REGISTRA
348.0,NO REGISTRA
346.0,NO REGISTRA
348.0,NO REGISTRA
343.0,NO REGISTRA
348.0,NO REGISTRA
347.0,NO REGISTRA
370.0,NO REGISTRA
380.0,NO REGISTRA
354.0,NO REGISTRA
332.0,NO REGISTRA
338.0,NO REGISTRA
346.0,NO REGISTRA
354.0,NO REGISTRA
359.0,NO REGISTRA
341.0,NO REGISTRA
353.0,NO REGISTRA
324.0,NO REGISTRA
373.0,NO REGISTRA
321.0,NO REGISTRA
348.0,NO REGISTRA
344.0,NO REGISTRA
344.0,NO REGISTRA
368.0,NO REGISTRA
368.0,NO REGISTRA
356.0,NO REGISTRA
355.0,NO REGISTRA
367.0,NO REGISTRA
344.0,NO REGISTRA
338.0,NO REGISTRA
307.0,NO REGISTRA
352.0,NO REGISTRA
342.0,NO REGISTRA
342.0,NO REGISTRA
347.0,NO REGISTRA
337.0,NO REGISTRA
367.0,NO REGISTRA
347.0,NO REGISTRA
371.0,NO REGISTRA
359.0,NO REGISTRA
355.0,NO REGISTRA
369.0,NO REGISTRA
359.0,NO REGISTRA
341.0,NO REGISTRA
336.0,NO REGISTRA
342.0,NO REGISTRA
345.0,NO REGISTRA
334.0,NO REGISTRA
336.0,NO REGISTRA
337.0,NO REGISTRA
344.0,NO REGISTRA
332.0,NO REGISTRA
345.0,NO REGISTRA
327.0,NO REGISTRA
344.0,NO REGISTRA
344.0,NO REGISTRA
339.0,NO REGISTRA
350.0,NO REGISTRA
343.0,NO REGISTRA
335.0,NO REGISTRA
335.0,NO REGISTRA
