PROMEDIO_SIETE;NOTA_FGEP;NOTA_HIST;NOTA_CCON;NOTA_L_DOS;NOTA_AIELEC;NOTA_SUBEL;VECES_SUBEL;VECES_FGEP;VECES_L_DOS;VECES_HIST;NOTA_L_UNO;RENDIMIENTO_OCHO
44;44;44;44;46;40;36;1;1;1;1;50;3
36;42;45;35;43;38;31;1;1;1;1;44;2
44;0;0;0;41;0;0;0;0;1;0;44;3
32;37;37;43;42;33;21;1;2;1;2;31;2
41;32;35;46;34;38;34;1;1;1;1;49;2
38;0;0;0;34;0;0;0;0;1;0;38;2
37;40;28;40;40;31;30;1;2;1;1;39;2
35;42;41;42;43;32;31;1;1;1;1;36;2
38;43;47;47;0;36;31;1;1;0;1;0;2
20;0;41;15;0;0;0;0;0;0;1;41;2
33;39;49;45;41;37;0;0;1;1;1;41;3
0;0;30;44;0;0;0;0;0;0;1;0;2
35;38;33;45;36;37;30;1;1;1;1;42;2
35;34;34;48;30;30;17;1;2;1;1;42;1
32;36;35;42;39;34;30;1;1;1;1;46;2
33;42;44;45;45;30;31;1;1;1;1;45;2
22;0;34;46;0;0;0;0;0;0;1;45;2
19;0;0;46;0;0;0;0;0;0;0;46;4
36;44;47;47;40;37;37;1;1;1;2;30;3
28;29;47;35;35;0;0;0;1;1;1;46;2
38;49;43;39;43;35;18;2;1;1;1;43;2
37;37;46;44;47;37;36;1;1;1;1;46;3
46;0;9;0;32;0;0;0;0;1;1;46;1
22;0;38;0;44;0;0;0;0;1;1;44;3
22;39;42;0;42;0;0;0;1;1;1;45;3
37;39;46;41;45;40;34;1;1;1;1;47;3
40;48;44;46;43;41;33;1;1;1;1;42;3
0;0;47;44;0;0;0;0;0;0;1;0;4
37;0;44;30;31;0;25;1;0;1;1;49;2
17;0;42;45;0;0;0;0;0;0;1;35;3
22;32;45;42;40;0;0;0;2;1;1;44;2
36;44;43;44;49;39;33;1;1;1;1;48;3
36;49;40;48;41;40;32;1;1;1;1;43;3
27;46;33;44;32;32;0;0;2;1;2;30;2
31;30;33;47;42;33;11;1;1;1;1;33;1
37;45;43;47;49;45;33;1;1;1;1;43;3
23;0;44;48;43;0;0;0;0;1;1;47;3
43;0;47;0;40;0;0;0;0;1;1;43;3
38;0;24;44;44;0;0;0;0;1;2;38;2
35;33;0;48;41;0;0;0;1;1;0;42;2
36;0;42;48;36;0;0;0;0;1;1;41;3
35;45;39;39;43;34;18;2;1;1;1;45;2
44;0;0;0;41;0;0;0;0;1;0;44;3
35;36;43;48;35;33;27;1;1;1;1;41;2
39;39;35;36;40;0;0;0;1;1;1;43;2
30;30;42;43;44;36;27;1;2;1;1;37;2
27;37;39;47;41;0;0;0;2;1;1;38;3
38;33;0;48;42;0;0;0;1;1;0;43;2
19;0;38;48;0;0;0;0;0;0;1;38;3
28;45;38;34;37;0;0;0;1;1;1;40;2
34;34;46;48;31;0;31;1;1;1;1;40;2
42;0;45;30;0;0;0;0;0;0;1;42;2
34;0;42;47;42;0;0;0;0;1;2;34;3
35;40;45;48;36;42;33;1;1;1;1;42;2
18;0;41;32;0;0;0;0;0;0;1;36;2
18;28;43;43;0;0;0;0;1;0;1;38;2
23;0;39;39;35;30;0;0;0;1;1;43;2
44;0;0;30;0;0;0;0;0;0;0;44;1
19;0;33;0;0;0;0;0;0;0;1;38;2
39;49;43;46;43;38;30;1;1;1;1;42;3
25;0;45;39;38;0;0;0;0;1;1;50;3
36;39;44;44;37;37;0;0;1;2;1;47;2
32;0;44;47;38;0;0;0;0;1;2;50;3
17;0;34;36;36;0;0;0;0;1;1;35;2
35;37;45;41;39;35;23;1;1;2;2;37;2
35;41;49;44;39;0;20;1;1;1;1;49;2
44;0;43;48;45;0;0;0;0;1;1;44;3
35;37;47;46;43;39;33;2;1;1;1;47;2
0;0;45;46;0;0;0;0;0;0;1;0;4
33;33;45;46;39;0;30;1;1;1;1;43;2
37;41;47;48;0;38;0;0;2;0;1;0;3
41;40;0;45;40;32;0;0;1;1;0;45;2
33;42;43;40;39;30;23;1;2;2;1;44;2
35;37;43;45;0;41;19;1;1;0;1;41;2
39;34;40;41;37;30;14;1;1;1;1;43;2
21;0;32;0;36;0;0;0;0;1;1;43;2
35;36;42;45;0;31;31;1;1;0;1;33;2
37;0;35;0;0;0;0;0;0;0;1;37;2
18;0;30;40;0;0;0;0;0;0;1;37;2
40;0;40;46;23;0;0;0;0;1;1;40;2
20;0;0;33;0;0;0;0;0;0;1;41;1
0;0;42;38;0;0;0;0;0;0;1;0;3
34;35;42;44;46;31;34;1;1;1;1;42;2
35;36;44;45;0;0;0;0;1;0;1;39;3
21;0;46;48;0;0;0;0;0;0;1;43;4
40;35;44;45;48;32;32;2;2;1;1;48;2
38;35;39;39;39;0;0;0;1;1;1;46;2
34;42;45;48;48;45;34;1;1;1;1;36;3
20;0;36;23;5;0;0;0;0;1;1;40;1
7;0;43;43;0;0;0;0;0;0;1;14;3
33;0;0;46;0;0;0;0;0;0;0;0;4
38;38;32;46;43;31;30;1;1;1;1;43;2
0;0;43;47;0;0;0;0;0;0;1;0;3
35;41;41;43;39;43;19;1;1;1;1;35;2
40;50;46;48;47;33;33;1;1;1;1;45;3
37;34;45;39;36;0;18;1;1;1;1;45;2
38;39;34;49;50;37;11;1;1;1;1;50;2
42;48;35;43;44;41;35;1;1;1;1;40;3
9;0;0;46;0;0;0;0;0;0;0;19;4
37;0;43;48;47;0;0;0;0;1;1;43;4
16;0;42;36;35;0;0;0;0;1;1;33;2
38;30;48;47;46;41;31;2;1;1;1;43;2
37;48;45;32;34;30;0;0;1;1;1;43;2
15;26;44;44;0;0;0;0;1;0;1;0;2
23;0;45;48;0;0;0;0;0;0;1;46;4
20;0;45;46;39;0;0;0;0;1;2;41;3
34;48;39;34;43;35;0;0;1;1;1;44;3
19;0;41;36;15;0;0;0;0;1;1;39;1
36;34;45;47;0;37;34;1;1;0;1;48;2
36;32;46;44;41;33;0;0;1;1;1;43;2
42;0;0;0;36;0;0;0;0;1;0;42;2
48;0;44;0;0;0;0;0;0;0;1;48;3
35;38;36;48;42;36;0;0;1;1;1;46;2
0;0;40;48;0;0;0;0;0;0;1;0;3
33;35;46;41;40;45;37;1;1;1;1;41;3
22;0;47;0;0;0;0;0;0;0;1;44;4
37;0;42;38;0;30;0;0;0;0;2;46;2
17;0;37;44;30;0;0;0;0;1;2;35;2
15;0;44;42;28;0;0;0;0;1;1;30;2
37;0;43;43;38;0;0;0;0;1;1;42;3
20;0;37;46;40;0;0;0;0;1;1;40;2
35;37;34;47;42;38;30;1;1;1;1;45;2
35;36;45;38;44;31;30;1;1;1;1;45;2
37;38;42;43;32;33;40;1;1;1;1;43;2
38;0;0;47;0;0;0;0;0;0;0;38;4
38;39;43;44;0;0;0;0;1;0;1;0;3
0;0;39;27;0;0;0;0;0;0;1;0;2
0;0;47;47;0;0;0;0;0;0;1;0;4
36;0;43;48;0;30;0;0;0;0;2;42;2
0;0;30;37;0;0;0;0;0;0;1;0;2
20;0;47;47;0;0;0;0;0;0;1;40;4
21;34;43;38;42;0;0;0;1;1;1;43;2
15;33;30;45;0;34;0;0;1;0;1;0;2
20;48;46;45;44;0;0;0;1;1;3;38;4
21;0;0;43;0;30;0;0;0;0;0;42;2
16;0;0;43;0;0;0;0;0;0;0;33;3
21;27;42;46;42;22;0;0;1;1;1;47;2
35;0;45;44;0;0;0;0;0;0;1;33;3
12;0;38;44;0;0;0;0;0;0;2;24;2
41;0;18;47;28;0;0;0;0;2;1;41;1
38;38;41;44;41;31;18;1;1;1;1;47;2
39;0;0;31;32;0;0;0;0;1;0;39;2
35;0;49;43;50;33;23;1;0;1;1;50;2
21;0;42;36;0;30;0;0;0;0;1;42;2
17;0;42;39;0;35;0;0;0;0;1;0;2
21;0;41;39;33;0;0;0;0;1;1;43;2
30;0;35;33;0;0;0;0;0;0;1;0;2
39;0;44;44;41;0;0;0;0;1;1;39;3
40;0;0;41;0;0;0;0;0;0;0;40;3
22;7;31;45;38;0;0;0;1;1;1;44;1
11;39;43;36;0;0;0;0;2;0;1;0;2
34;0;40;39;0;0;0;0;0;0;1;0;2
37;0;34;0;0;0;0;0;0;0;1;37;2
0;0;30;35;0;0;0;0;0;0;1;0;2
21;0;40;35;40;0;0;0;0;1;2;43;2
42;0;0;44;38;0;0;0;0;1;0;42;2
38;39;0;44;37;38;0;0;1;1;0;47;2
22;30;34;37;40;0;0;0;1;1;1;44;2
38;39;35;39;46;31;24;1;1;1;1;45;2
45;0;0;40;22;0;0;0;0;1;0;45;1
0;0;43;42;0;0;0;0;0;0;1;0;3
23;0;35;0;45;0;0;0;0;1;1;46;2
34;0;0;48;38;0;0;0;0;2;0;34;3
36;44;49;39;0;0;30;1;1;0;1;49;2
25;35;0;35;43;35;0;0;1;1;0;37;2
37;0;45;38;40;0;0;0;0;1;2;37;3
32;0;41;0;0;0;0;0;0;0;1;0;3
37;36;40;43;42;37;0;0;1;1;1;39;2
22;0;41;48;0;0;0;0;0;0;1;44;3
38;0;0;0;39;0;0;0;0;1;0;38;2
36;0;0;43;36;0;0;0;0;1;0;36;2
35;0;32;44;33;0;0;0;0;1;1;35;2
35;31;35;0;39;42;32;1;1;1;1;36;2
39;34;0;45;43;33;30;1;1;1;0;48;2
19;0;33;45;0;0;0;0;0;0;1;38;2
19;0;0;33;40;0;0;0;0;1;0;38;2
0;0;46;37;0;0;0;0;0;0;1;0;3
18;36;43;40;40;0;0;0;2;1;1;37;2
24;0;40;37;41;0;0;0;0;1;1;48;2
0;0;46;31;0;0;0;0;0;0;1;0;3
22;47;42;40;0;0;0;0;1;0;1;45;3
36;30;33;36;40;34;24;1;1;1;1;37;2
37;0;0;30;0;0;0;0;0;0;1;37;1
19;34;44;45;41;0;0;0;1;1;1;38;3
20;0;0;32;0;0;0;0;0;0;0;41;2
0;0;42;40;0;0;0;0;0;0;1;0;3
21;0;0;33;44;0;0;0;0;1;0;43;3
23;47;39;33;40;38;0;0;1;1;1;46;3
11;33;46;34;0;0;0;0;1;0;1;0;2
22;38;38;44;38;0;0;0;1;1;1;45;2
36;0;39;44;0;0;0;0;0;0;2;49;3
0;28;42;43;0;0;0;0;2;0;1;0;2
0;0;42;36;0;0;0;0;0;0;2;0;2
33;0;47;41;0;0;20;1;0;0;1;44;2
18;18;30;40;37;0;0;0;1;1;1;37;1
20;0;0;0;35;0;0;0;0;1;0;40;2
18;0;47;41;35;0;0;0;0;1;1;37;3
19;0;0;38;36;0;0;0;0;1;0;39;2
34;0;41;0;0;43;31;1;0;0;1;49;2
15;0;32;45;0;0;0;0;0;0;1;31;2
0;0;44;41;0;0;0;0;0;0;1;0;3
47;0;0;47;43;0;0;0;0;1;0;47;3
0;0;39;44;0;0;0;0;0;0;1;0;3
36;48;46;47;34;31;23;1;1;1;1;0;2
17;44;46;45;0;0;0;0;1;0;1;34;3
19;0;41;36;38;0;0;0;0;1;1;39;2
20;0;0;37;43;0;0;0;0;1;0;40;3
35;0;33;47;44;0;0;0;0;1;1;46;3
36;0;0;36;0;0;0;0;0;0;0;46;2
36;48;39;46;47;0;0;0;1;1;1;45;3
0;0;30;47;0;0;0;0;0;0;1;0;2
45;0;34;48;0;0;0;0;0;0;1;45;2
44;0;0;0;48;0;0;0;0;1;0;44;4
24;0;42;35;0;0;0;0;0;0;1;48;2
45;48;46;39;48;0;0;0;1;1;2;45;4
35;0;0;0;0;0;0;0;0;0;0;43;0
40;0;45;38;33;0;0;0;0;1;1;40;2
38;0;40;35;38;0;0;0;0;1;1;39;2
36;0;37;49;48;0;0;0;0;1;1;40;3
23;0;0;45;0;0;0;0;0;0;0;46;3
21;0;37;40;36;0;0;0;0;1;1;43;2
0;0;37;29;0;0;0;0;0;0;1;0;2
21;0;39;40;43;0;0;0;0;1;1;42;3
17;0;43;48;41;0;0;0;0;1;1;35;3
22;0;41;48;43;0;0;0;0;1;1;45;3
21;0;39;40;46;0;0;0;0;1;1;42;3
45;0;0;44;37;0;0;0;0;1;0;45;2
37;0;45;48;38;0;0;0;0;1;1;41;3
18;0;42;49;33;0;0;0;0;1;1;37;2
26;44;31;0;0;32;0;0;1;0;1;0;2
22;0;40;45;45;0;0;0;0;1;1;45;3
19;0;38;31;0;0;0;0;0;0;1;39;2
45;0;0;38;0;0;0;0;0;1;0;45;1
35;0;41;44;42;0;0;0;0;1;1;37;3
25;0;45;47;43;0;0;0;0;1;1;44;3
37;38;37;47;40;33;0;0;1;1;1;45;2
32;0;0;35;45;0;0;0;0;1;0;34;3
49;0;47;47;0;0;0;0;0;0;1;49;4
0;0;31;42;0;0;0;0;0;0;1;0;2
42;0;43;44;0;0;0;0;0;0;1;42;3
19;0;43;48;42;0;0;0;0;1;1;39;3
21;0;36;38;0;0;0;0;0;0;1;34;2
29;0;0;46;39;0;0;0;0;1;0;37;3
0;0;44;38;0;0;0;0;0;0;1;0;3
35;0;0;44;43;0;0;0;0;1;0;35;3
22;44;46;31;38;33;0;0;1;1;1;45;2
21;0;39;46;43;0;0;0;0;1;1;43;3
0;0;44;45;0;0;0;0;0;0;1;0;3
17;0;38;34;45;0;0;0;0;1;1;34;2
0;0;45;38;0;0;0;0;0;0;1;0;3
35;0;44;35;40;0;0;0;0;1;1;44;3
0;0;44;43;0;0;0;0;0;0;1;0;3
0;0;43;44;0;0;0;0;0;0;1;0;3
19;36;36;47;44;0;0;0;1;1;1;44;2
41;0;41;42;45;0;0;0;0;1;1;41;3
23;0;46;37;43;0;0;0;0;1;1;47;3
15;0;35;46;0;0;0;0;0;0;2;15;2
29;0;47;38;40;0;0;0;0;1;1;44;3
35;0;0;36;34;0;0;0;0;1;0;35;2
0;0;35;45;0;0;0;0;0;0;1;0;2
0;0;32;36;0;0;0;0;0;0;1;0;2
18;0;45;30;0;0;0;0;0;0;1;37;2
0;0;33;47;0;0;0;0;0;0;1;0;2
0;0;35;45;0;0;0;0;0;0;1;0;2
22;0;35;37;0;0;0;0;0;0;1;22;2
0;0;34;48;0;0;0;0;0;0;1;0;2
20;0;46;47;43;0;0;0;0;1;1;41;3
0;0;43;38;0;0;0;0;0;0;1;0;3
22;0;45;48;43;0;0;0;0;1;1;45;3
0;0;35;36;0;0;0;0;0;0;1;0;2
18;0;38;41;42;0;0;0;0;1;1;37;3
9;0;46;38;0;0;0;0;0;0;2;9;3
0;0;38;48;0;0;0;0;0;0;1;0;3
0;0;43;36;0;0;0;0;0;0;1;0;3
0;0;36;48;0;0;0;0;0;0;1;0;2
33;0;42;37;0;0;0;0;0;0;1;0;3
34;0;0;46;0;0;0;0;0;0;0;34;4
31;0;40;30;0;0;0;0;0;0;1;31;2
14;0;43;45;0;0;0;0;0;0;1;29;3
0;0;36;34;0;0;0;0;0;0;2;0;2
21;0;0;40;0;0;0;0;0;0;0;42;2
0;0;34;40;0;0;0;0;0;0;1;0;2
43;0;0;35;42;0;0;0;0;1;0;43;2
18;0;0;40;0;0;0;0;0;0;0;37;2
0;0;44;39;0;0;0;0;0;0;1;0;3
38;0;36;38;0;0;0;0;0;0;1;38;2
0;0;46;40;0;0;0;0;0;0;1;0;3
0;0;30;39;0;0;0;0;0;0;1;0;2
45;0;44;0;0;0;0;0;0;0;1;45;3
0;0;39;49;0;0;0;0;0;0;1;0;3
44;0;43;38;0;0;0;0;0;0;1;44;3
35;0;0;36;0;0;0;0;0;0;0;35;2
22;0;50;48;43;0;0;0;0;1;1;45;4
35;0;0;0;42;0;0;0;0;1;0;35;3
19;0;31;45;0;0;0;0;0;0;1;39;2
22;0;0;45;45;0;0;0;0;1;0;45;3
46;0;35;48;0;0;0;0;0;0;1;46;2
16;0;0;45;37;0;0;0;0;1;0;33;2
15;0;40;35;0;0;0;0;0;0;1;31;2
24;0;46;0;47;0;0;0;0;1;1;48;4
17;0;0;38;0;0;0;0;0;0;0;34;2
44;0;46;42;44;0;0;0;0;1;1;44;3
24;0;0;48;45;0;0;0;0;1;0;48;4
20;0;47;45;0;0;0;0;0;0;1;40;4
24;48;0;48;0;0;0;0;1;0;0;49;4
49;0;0;48;47;0;0;0;0;1;0;49;4
0;0;41;48;0;0;0;0;0;0;1;0;3
23;0;34;48;0;0;0;0;0;0;1;46;2
48;0;46;44;41;0;0;0;0;1;1;48;3
0;0;39;48;0;0;0;0;0;0;1;0;3
41;0;47;45;0;0;0;0;0;0;1;41;4
42;0;38;47;37;0;0;0;0;1;1;42;2
19;0;0;43;38;0;0;0;0;1;0;39;2
40;0;0;47;0;0;0;0;0;0;0;40;4
20;0;33;48;0;0;0;0;0;0;1;41;2
39;0;0;48;0;0;0;0;0;0;0;39;4
37;0;41;0;0;0;0;0;0;0;1;37;3
33;0;44;38;40;0;0;0;0;1;1;33;3
41;0;0;35;37;0;0;0;0;1;0;41;2
22;0;38;48;0;0;0;0;0;0;1;44;3
0;0;37;47;0;0;0;0;0;0;1;0;3
42;0;0;47;0;0;0;0;0;0;0;42;4
0;0;42;30;0;0;0;0;0;0;1;0;2
22;0;42;48;46;0;0;0;0;1;1;44;3
20;0;39;0;41;0;0;0;0;1;1;40;2
22;0;30;0;0;0;0;0;0;0;2;45;1
0;0;45;46;0;0;0;0;0;0;1;0;4
41;0;40;49;0;0;0;0;0;0;1;41;3
30;0;25;11;0;0;0;0;0;0;1;30;1
0;0;43;48;0;0;0;0;0;0;1;0;3
0;0;30;0;40;0;0;0;0;1;1;0;2
0;0;40;48;0;0;0;0;0;0;1;0;3
0;0;41;48;0;0;0;0;0;0;1;0;3
20;0;45;44;0;0;0;0;0;0;1;40;3
0;0;35;34;0;0;0;0;0;0;1;0;2
0;0;43;45;0;0;0;0;0;0;1;0;3
41;0;0;48;0;0;0;0;0;0;0;41;4
0;0;42;35;0;0;0;0;0;0;1;0;2
0;24;36;45;0;0;0;0;3;0;1;0;2
40;0;42;34;0;0;0;0;0;0;1;40;2
0;0;47;45;0;0;0;0;0;0;1;0;4
0;0;0;0;0;34;32;1;0;0;0;0;2
0;0;0;0;0;33;32;1;0;0;0;0;2
23;0;37;42;44;0;0;0;0;1;1;47;3
22;0;44;0;0;0;0;0;0;0;1;45;3
0;0;41;39;0;0;0;0;0;0;1;0;3
24;0;0;0;45;0;0;0;0;1;0;49;3
18;0;36;35;0;0;0;0;0;0;1;36;2
15;0;36;37;0;0;0;0;0;0;1;31;2
0;0;42;39;0;0;0;0;0;0;1;0;3
35;0;0;42;0;0;0;0;0;0;0;35;3
46;0;46;44;0;0;0;0;0;0;2;46;4
38;0;41;0;0;0;0;0;0;0;1;38;3
44;0;0;0;43;0;0;0;0;1;0;44;3
41;0;40;0;0;0;0;0;0;0;1;41;2
0;0;35;37;0;0;0;0;0;0;1;0;2
0;0;46;46;0;0;0;0;0;0;1;0;4
19;0;42;34;0;0;0;0;0;0;1;38;2
39;0;36;40;43;0;0;0;0;1;1;39;2
0;0;41;42;0;0;0;0;0;0;1;0;3
0;0;44;43;0;0;0;0;0;0;1;0;3
21;0;45;0;43;0;0;0;0;1;1;42;3
0;0;43;43;0;0;0;0;0;0;1;0;3
34;0;0;0;39;0;0;0;0;1;0;34;2
48;0;41;0;0;0;0;0;0;0;1;48;3
32;0;41;0;0;0;0;0;0;0;1;32;3
47;0;43;0;0;0;0;0;0;0;1;47;3
25;0;45;0;0;0;0;0;0;0;1;50;3
42;0;44;0;0;0;0;0;0;0;1;42;3
35;0;0;0;0;0;0;0;0;0;0;43;0
35;0;0;0;0;0;0;0;0;0;0;43;0
35;0;0;0;0;0;0;0;0;0;0;43;0
